ride_id,timestamp,pickup_zone,dropoff_zone,trip_distance_km,surge_multiplier,fare_amount
b_0,2025-09-01 00:00:00,Z008,Z013,6.5024603067149656,1.2427911797287443,52.157697831049134
b_1,2025-09-01 00:01:00,Z006,Z026,7.09749107501694,1.1545751852788808,57.68167377523831
b_2,2025-09-01 00:02:00,Z003,Z007,5.951724289275565,1.121012481410299,50.45624379896477
b_3,2025-09-01 00:03:00,Z006,Z026,4.718816322485452,1.011988152821854,61.3028532368518
b_4,2025-09-01 00:04:00,Z028,Z030,5.590658429656555,1.0,57.591037330510254
b_5,2025-09-01 00:05:00,Z001,Z015,4.516706890007075,1.0128789361403903,50.648384770909786
b_6,2025-09-01 00:06:00,Z014,Z005,6.620287205194877,1.0625997220647647,51.3378395265445
b_7,2025-09-01 00:07:00,Z014,Z032,9.180430491109068,1.1385851915488978,69.07014306375937
b_8,2025-09-01 00:08:00,Z038,Z003,5.51558696289734,1.121268792420054,56.11942962252975
b_9,2025-09-01 00:09:00,Z025,Z009,5.259050200360119,1.0063196808522445,49.302678649628724
b_10,2025-09-01 00:10:00,Z038,Z035,7.479684100370396,1.0632222444979227,56.82780767034491
b_11,2025-09-01 00:11:00,Z002,Z006,7.213774016320121,1.1159635866636575,50.60656752831138
b_12,2025-09-01 00:12:00,Z019,Z039,6.710828497995797,1.0,56.22959834761138
b_13,2025-09-01 00:13:00,Z020,Z002,4.639063910583591,1.0,54.524858427817975
b_14,2025-09-01 00:14:00,Z013,Z009,6.441496355073453,1.0,60.99615000480669
b_15,2025-09-01 00:15:00,Z006,Z037,7.890606388916575,1.0214207343031199,63.434903522090124
b_16,2025-09-01 00:16:00,Z039,Z030,3.811570905429836,1.0105570119111724,51.65724108817423
b_17,2025-09-01 00:17:00,Z032,Z021,5.584768477919564,1.0132921108665678,49.94893028023721
b_18,2025-09-01 00:18:00,Z020,Z038,2.697554520398312,1.0,41.32843540643754
b_19,2025-09-01 00:19:00,Z002,Z023,3.920924520430048,1.1652098339530752,53.98641828754181
b_20,2025-09-01 00:20:00,Z035,Z003,2.8165299244165354,1.0982453928841311,46.517060300291895
b_21,2025-09-01 00:21:00,Z000,Z026,6.029817737850637,1.0,50.29409464577065
b_22,2025-09-01 00:22:00,Z024,Z030,3.9651070371125936,1.0556185269825125,50.451073849993136
b_23,2025-09-01 00:23:00,Z026,Z004,7.042528717643403,1.0,62.01770434352019
b_24,2025-09-01 00:24:00,Z014,Z030,6.81350217324845,1.3600926099348283,60.64062860765581
b_25,2025-09-01 00:25:00,Z014,Z035,6.126138110740091,1.0,55.30895629103407
b_26,2025-09-01 00:26:00,Z026,Z038,1.4664805783589738,1.0,37.141023911195745
b_27,2025-09-01 00:27:00,Z036,Z039,5.422614208306727,1.0670472454528814,54.57753014536576
b_28,2025-09-01 00:28:00,Z033,Z035,6.402998109197856,1.0225948259206101,64.47514437577438
b_29,2025-09-01 00:29:00,Z015,Z009,6.726617972006615,1.044588743531724,57.43185842026245
b_30,2025-09-01 00:30:00,Z002,Z014,3.439728468989213,1.3291110158005093,42.65947976129005
b_31,2025-09-01 00:31:00,Z031,Z009,5.544493447932139,1.0901824980819046,54.6502139787136
b_32,2025-09-01 00:32:00,Z009,Z031,4.5429618438867205,1.194482152452849,43.24277619325218
b_33,2025-09-01 00:33:00,Z019,Z034,4.882325521148801,1.248045038709125,51.95457179484891
b_34,2025-09-01 00:34:00,Z033,Z012,8.621797246772157,1.0,61.16265550927697
