ride_id,timestamp,pickup_zone,dropoff_zone,trip_distance_km,surge_multiplier,fare_amount
t_0,2025-10-01 00:00:00,Z008,Z030,7.316664531527131,1.0,53.058594327338795
t_1,2025-10-01 00:01:00,Z000,Z027,8.004943525165068,1.0,68.76577159269489
t_2,2025-10-01 00:02:00,Z036,Z032,6.27941459528665,1.0,55.97171380647685
t_3,2025-10-01 00:03:00,Z022,Z000,9.846849626563738,1.0,75.55639272421736
t_4,2025-10-01 00:04:00,Z033,Z023,3.374199661342942,1.2342780100353337,51.36088127808639
t_5,2025-10-01 00:05:00,Z037,Z029,6.6584832824343945,1.015289572573806,54.5835909366219
t_6,2025-10-01 00:06:00,Z033,Z013,6.062207375901064,1.4083770426364757,56.277566125948304
t_7,2025-10-01 00:07:00,Z038,Z017,7.126095893425721,1.0924590725693535,53.80558887953337
t_8,2025-10-01 00:08:00,Z003,Z029,6.55719557928972,1.222183610501955,58.59570469972014
t_9,2025-10-01 00:09:00,Z018,Z007,10.229706403949145,1.0,69.83161946623348
t_10,2025-10-01 00:10:00,Z001,Z016,7.134385764586946,1.0,65.04303408497155
t_11,2025-10-01 00:11:00,Z021,Z022,5.07356075591648,1.1839698690917002,64.36182440138307
t_12,2025-10-01 00:12:00,Z007,Z003,12.701379826393124,1.27984858688315,80.83347224139314
t_13,2025-10-01 00:13:00,Z027,Z034,7.228897544957295,1.0,59.01066420538666
t_14,2025-10-01 00:14:00,Z033,Z008,6.782363142414113,1.375254397700503,59.815981283009826
t_15,2025-10-01 00:15:00,Z020,Z027,9.11901820485391,1.0522519371784786,66.55872193434274
t_16,2025-10-01 00:16:00,Z008,Z022,5.8085576863686255,1.4443704869334586,53.14428167107233
t_17,2025-10-01 00:17:00,Z034,Z033,6.637363375552052,1.0,60.04700122104367
t_18,2025-10-01 00:18:00,Z023,Z012,9.068739776282982,1.0325478136194135,60.31875883095616
t_19,2025-10-01 00:19:00,Z012,Z012,4.49376509182212,1.2300751480191636,46.43551540361143
t_20,2025-10-01 00:20:00,Z012,Z001,6.127595068973507,1.0840183824059777,58.34311857723142
t_21,2025-10-01 00:21:00,Z039,Z031,9.243084014984124,1.0,73.0424340126692
t_22,2025-10-01 00:22:00,Z023,Z026,11.157632995443425,1.2296321264306334,77.04145896969793
t_23,2025-10-01 00:23:00,Z034,Z005,6.960940005910103,1.295986414802924,58.11926870721763
t_24,2025-10-01 00:24:00,Z026,Z037,6.904795960940191,1.02299245746649,66.115461187392
t_25,2025-10-01 00:25:00,Z025,Z006,9.573038362025182,1.2556804070948981,70.50556725371226
t_26,2025-10-01 00:26:00,Z010,Z023,3.838062183884461,1.0179429264332713,59.2756557823336
t_27,2025-10-01 00:27:00,Z025,Z006,5.585601202560059,1.0,58.045860352912904
t_28,2025-10-01 00:28:00,Z004,Z027,5.363895380753581,1.3753433853204913,54.269550296359775
t_29,2025-10-01 00:29:00,Z025,Z008,2.54027965957736,1.0,37.65871672204728
t_30,2025-10-01 00:30:00,Z015,Z027,0.6528950802548792,1.0075008205660294,45.76780330143802
t_31,2025-10-01 00:31:00,Z002,Z022,6.22790063027594,1.2549420947816785,63.04850794752359
t_32,2025-10-01 00:32:00,Z015,Z024,9.172091695669865,1.0,75.32636504552292
t_33,2025-10-01 00:33:00,Z016,Z009,8.629050835567956,1.0,62.21440338017568
t_34,2025-10-01 00:34:00,Z013,Z003,9.96815966048953,1.048641794766364,63.64147623811213
t_35,2025-10-01 00:35:00,Z005,Z037,1.0266178426429065,1.1151420719450937,47.61573928680392
t_36,2025-10-01 00:36:00,Z033,Z019,6.809827939531419,1.292352347712124,59.22459696010339
t_37,2025-10-01 00:37:00,Z015,Z020,10.124248443376263,1.0619405726028577,56.16587414633041
t_38,2025-10-01 00:38:00,Z025,Z014,5.194596556328438,1.0,57.55368671547305
t_39,2025-10-01 00:39:00,Z017,Z006,4.222851413423955,1.0,42.9722504318525
t_40,2025-10-01 00:40:00,Z026,Z002,7.916951047394715,1.0371769176781411,71.25172642989548
t_41,2025-10-01 00:41:00,Z019,Z023,7.167959247001169,1.0117525836589656,66.8485692826985
t_42,2025-10-01 00:42:00,Z009,Z026,8.566431402986593,1.3318363106156945,53.60450258480719
t_43,2025-10-01 00:43:00,Z035,Z009,7.126456739637817,1.0,62.28006304558659
t_44,2025-10-01 00:44:00,Z009,Z037,9.922957733822539,1.0,69.72086949519908
t_45,2025-10-01 00:45:00,Z029,Z027,8.695148657254348,1.0,69.23409894123013
t_46,2025-10-01 00:46:00,Z020,Z029,7.716160045661103,1.0516270431903667,55.17988232984679
t_47,2025-10-01 00:47:00,Z000,Z026,6.29891235457174,1.1833478871891443,49.09549243701109
t_48,2025-10-01 00:48:00,Z005,Z012,8.725863932023275,1.4553667696681942,71.0151231206014
t_49,2025-10-01 00:49:00,Z006,Z031,5.656969666302407,1.0,43.689139911853566
t_50,2025-10-01 00:50:00,Z027,Z039,9.292814068936325,1.1262242101127646,67.05052730939737
t_51,2025-10-01 00:51:00,Z007,Z006,9.723589326274325,1.0,71.6665180637354
t_52,2025-10-01 00:52:00,Z019,Z010,9.266497171096734,1.4555717072958088,71.89598765447491
t_53,2025-10-01 00:53:00,Z005,Z015,4.284735265594689,1.1638748369634897,52.64783730326505
t_54,2025-10-01 00:54:00,Z007,Z021,8.136719640034872,1.4307124630230557,77.20252172923237
t_55,2025-10-01 00:55:00,Z011,Z022,7.979985654400442,1.0904796980233544,70.25896080353418
t_56,2025-10-01 00:56:00,Z032,Z036,9.105708637977596,1.3215166794041358,66.09284957650621
t_57,2025-10-01 00:57:00,Z019,Z002,3.659460898675752,1.1664708604376057,47.67262919217972
t_58,2025-10-01 00:58:00,Z010,Z020,5.804619488827447,1.0,51.48010800412018
t_59,2025-10-01 00:59:00,Z039,Z023,6.97764036490636,1.2918215256910874,60.930541807334926
t_60,2025-10-01 01:00:00,Z015,Z006,10.280547610482845,1.037399073735337,83.4779564694896
t_61,2025-10-01 01:01:00,Z007,Z006,5.812952593627662,1.0,59.98980065307861
t_62,2025-10-01 01:02:00,Z003,Z025,9.159250451826392,1.0748248464278458,66.64525844146647
t_63,2025-10-01 01:03:00,Z000,Z019,7.484307652894508,1.0,54.47434431113649
t_64,2025-10-01 01:04:00,Z023,Z006,11.492666629825123,1.201205917054182,60.44807195410882
t_65,2025-10-01 01:05:00,Z001,Z021,7.886694156733245,1.4341146643544511,62.40510908458701
t_66,2025-10-01 01:06:00,Z028,Z027,3.5379392542153822,1.1537681601475465,43.56007171256037
t_67,2025-10-01 01:07:00,Z011,Z003,6.532229961704265,1.207001476534709,60.45425351628701
t_68,2025-10-01 01:08:00,Z018,Z004,7.731739479894693,1.0,55.74592540382575
t_69,2025-10-01 01:09:00,Z004,Z004,10.006521080132813,1.0,74.45839773281165
t_70,2025-10-01 01:10:00,Z035,Z035,8.647059070511974,1.0,64.08065145189303
t_71,2025-10-01 01:11:00,Z001,Z007,6.52518455724804,1.545436876352039,54.58549221478992
t_72,2025-10-01 01:12:00,Z001,Z036,4.315312186943334,1.0164459744944732,52.517064918484174
t_73,2025-10-01 01:13:00,Z001,Z015,7.233314340239677,1.148734701637553,57.826152374944144
t_74,2025-10-01 01:14:00,Z034,Z035,6.886739095823937,1.0,59.19008271296756
t_75,2025-10-01 01:15:00,Z020,Z019,10.152010668356661,1.001086854003212,66.16642915612518
t_76,2025-10-01 01:16:00,Z002,Z018,9.247925767235403,1.118215156812424,70.21557985778801
t_77,2025-10-01 01:17:00,Z006,Z029,4.008863148702848,1.067633957191106,39.701077720117674
t_78,2025-10-01 01:18:00,Z011,Z034,1.945981724386864,1.039105727527799,42.02802929970872
t_79,2025-10-01 01:19:00,Z002,Z009,6.231789290025763,1.1807581244319212,60.522530715334625
t_80,2025-10-01 01:20:00,Z004,Z014,7.770324221836875,1.1915869586192132,67.55481291816744
t_81,2025-10-01 01:21:00,Z011,Z024,4.978774357844218,1.0,56.15525203846109
t_82,2025-10-01 01:22:00,Z037,Z031,5.99847799465018,1.0,64.08092239948257
