ride_id,timestamp,pickup_zone,dropoff_zone,trip_distance_km,surge_multiplier,fare_amount
b_0,2025-09-01 00:00:00,Z008,Z013,5.792907660042808,1.1599092307842407,56.08636628854981
b_1,2025-09-01 00:01:00,Z006,Z026,8.407124767697505,1.1400670725357318,60.021247120075046
b_2,2025-09-01 00:02:00,Z003,Z007,3.6591364323944173,1.0299529231500273,62.67033972366544
b_3,2025-09-01 00:03:00,Z006,Z026,9.440262193891664,1.0597565019917075,77.21643102705904
b_4,2025-09-01 00:04:00,Z028,Z030,10.658632556730224,1.0,75.37399221213354
b_5,2025-09-01 00:05:00,Z001,Z015,6.6684724924802525,1.0,66.4004153254017
b_6,2025-09-01 00:06:00,Z014,Z005,8.876214363885772,1.0,63.35073003433371
b_7,2025-09-01 00:07:00,Z014,Z032,8.427331422710456,1.0,66.62303542314298
b_8,2025-09-01 00:08:00,Z038,Z003,6.814119861352766,1.0,55.40483217861103
b_9,2025-09-01 00:09:00,Z025,Z009,5.643987836210979,1.1427471554828152,66.15948211897265
b_10,2025-09-01 00:10:00,Z038,Z035,2.718618931358187,1.4366588678667207,42.131408386465694
b_11,2025-09-01 00:11:00,Z002,Z006,11.326058710029177,1.1365178898505346,82.83907259308144
b_12,2025-09-01 00:12:00,Z019,Z039,7.680919407019165,1.1004601822483713,69.47018331092121
b_13,2025-09-01 00:13:00,Z020,Z002,14.105818526873588,1.0,87.13345683855206
b_14,2025-09-01 00:14:00,Z013,Z009,9.86554562293654,1.3892005238221345,63.23069997388487
b_15,2025-09-01 00:15:00,Z006,Z037,8.494451317438457,1.0,78.16922747530356
b_16,2025-09-01 00:16:00,Z039,Z030,6.156422353734735,1.0,51.86267210968478
b_17,2025-09-01 00:17:00,Z032,Z021,11.281173011079527,1.0255059657246222,82.92409634213003
b_18,2025-09-01 00:18:00,Z020,Z038,6.5342772138030325,1.064220529764198,67.0225805614327
b_19,2025-09-01 00:19:00,Z002,Z023,11.724872830618997,1.1064877574358647,90.74639156737962
b_20,2025-09-01 00:20:00,Z035,Z003,6.80409679777522,1.042808716627123,47.25298495242262
