sample_size_per_group,total_sample_size,power,alpha,effect_size_cohens_d
10,20,0.06384583816335615,0.05,0.1953
11,22,0.06655480631667254,0.05,0.1953
13,26,0.0718639084525331,0.05,0.1953
15,30,0.07706202548586188,0.05,0.1953
18,36,0.08471114003501323,0.05,0.1953
20,40,0.0897384101276123,0.05,0.1953
24,48,0.09967289619106484,0.05,0.1953
28,56,0.10949700101793874,0.05,0.1953
32,64,0.1192488697067362,0.05,0.1953
37,74,0.13137197265984013,0.05,0.1953
43,86,0.1458560450273999,0.05,0.1953
50,100,0.16269608080375714,0.05,0.1953
58,116,0.18188364123336542,0.05,0.1953
68,136,0.2057826352557089,0.05,0.1953
78,156,0.2295669289686736,0.05,0.1953
91,182,0.26025963862331425,0.05,0.1953
106,212,0.2952527852768879,0.05,0.1953
122,244,0.3319406957899118,0.05,0.1953
142,284,0.37665889346790227,0.05,0.1953
165,330,0.42622782277599447,0.05,0.1953
191,382,0.47953281783806756,0.05,0.1953
221,442,0.5370899600136951,0.05,0.1953
257,514,0.6002600708913741,0.05,0.1953
298,596,0.6642509660621612,0.05,0.1953
345,690,0.7274835296680499,0.05,0.1953
400,800,0.7887628143899449,0.05,0.1953
464,928,0.844925960971615,0.05,0.1953
537,1074,0.8925834293136693,0.05,0.1953
623,1246,0.9315112299845383,0.05,0.1953
722,1444,0.9600216617960543,0.05,0.1953
837,1674,0.9791027735375533,0.05,0.1953
970,1940,0.9903919399281371,0.05,0.1953
1125,2250,0.9962326930246024,0.05,0.1953
1304,2608,0.9987657088340863,0.05,0.1953
1511,3022,0.9996733104539851,0.05,0.1953
1752,3504,0.9999334692424986,0.05,0.1953
2030,4060,0.9999898911788339,0.05,0.1953
2353,4706,0.9999989274317265,0.05,0.1953
2728,5456,0.9999999253228146,0.05,0.1953
3162,6324,0.9999999968003697,0.05,0.1953
